state,year,month,average_temperature
Michigan,1987,1,-5.277777777777778
Michigan,1987,2,-3.444444444444444
Michigan,1987,3,1.4444444444444453
Michigan,1987,4,8.166666666666668
Michigan,1987,5,14.38888888888889
Michigan,1987,6,19.555555555555557
Michigan,1987,7,21.888888888888893
Michigan,1987,8,19.222222222222218
Michigan,1987,9,15.444444444444445
Michigan,1987,10,6.166666666666668
Michigan,1987,11,3.3333333333333335
Michigan,1987,12,-1.722222222222223
Michigan,1988,1,-8.0
Michigan,1988,2,-8.333333333333334
Michigan,1988,3,-1.2222222222222219
Michigan,1988,4,6.166666666666668
Michigan,1988,5,14.055555555555554
Michigan,1988,6,18.833333333333336
Michigan,1988,7,21.944444444444443
Michigan,1988,8,21.0
Michigan,1988,9,14.777777777777779
Michigan,1988,10,5.833333333333333
Michigan,1988,11,2.999999999999999
Michigan,1988,12,-4.611111111111111
Michigan,1989,1,-3.611111111111111
Michigan,1989,2,-8.722222222222221
Michigan,1989,3,-2.999999999999999
Michigan,1989,4,4.777777777777779
Michigan,1989,5,11.88888888888889
Michigan,1989,6,16.944444444444443
Michigan,1989,7,20.833333333333332
Michigan,1989,8,18.88888888888889
Michigan,1989,9,14.333333333333334
Michigan,1989,10,9.055555555555554
Michigan,1989,11,-0.22222222222222143
Michigan,1989,12,-10.333333333333334
Michigan,1990,1,-2.4444444444444438
Michigan,1990,2,-4.611111111111111
Michigan,1990,3,0.7222222222222207
Michigan,1990,4,7.222222222222222
Michigan,1990,5,10.833333333333334
Michigan,1990,6,17.5
Michigan,1990,7,19.61111111111111
Michigan,1990,8,18.833333333333336
Michigan,1990,9,14.944444444444445
Michigan,1990,10,7.944444444444443
Michigan,1990,11,3.944444444444445
Michigan,1990,12,-3.3888888888888897
Michigan,1991,1,-8.11111111111111
Michigan,1991,2,-3.7777777777777777
Michigan,1991,3,0.777777777777777
Michigan,1991,4,8.166666666666668
Michigan,1991,5,15.555555555555555
Michigan,1991,6,19.61111111111111
Michigan,1991,7,20.38888888888889
Michigan,1991,8,20.055555555555554
Michigan,1991,9,13.777777777777777
Michigan,1991,10,8.88888888888889
Michigan,1991,11,0.33333333333333415
Michigan,1991,12,-3.3888888888888897
Michigan,1992,1,-5.055555555555556
Michigan,1992,2,-3.8333333333333326
Michigan,1992,3,-1.6666666666666667
Michigan,1992,4,4.555555555555557
Michigan,1992,5,12.5
Michigan,1992,6,15.722222222222221
Michigan,1992,7,17.22222222222222
Michigan,1992,8,16.833333333333332
Michigan,1992,9,13.944444444444445
Michigan,1992,10,7.3888888888888875
Michigan,1992,11,1.0555555555555547
Michigan,1992,12,-2.999999999999999
Michigan,1993,1,-5.888888888888889
Michigan,1993,2,-7.833333333333333
Michigan,1993,3,-1.6666666666666667
Michigan,1993,4,4.666666666666666
Michigan,1993,5,12.166666666666666
Michigan,1993,6,16.333333333333332
Michigan,1993,7,20.611111111111107
Michigan,1993,8,20.166666666666668
Michigan,1993,9,12.222222222222221
Michigan,1993,10,7.055555555555557
Michigan,1993,11,0.9999999999999984
Michigan,1993,12,-3.8333333333333326
Michigan,1994,1,-12.5
Michigan,1994,2,-9.88888888888889
Michigan,1994,3,-0.8333333333333334
Michigan,1994,4,6.277777777777776
Michigan,1994,5,11.555555555555554
Michigan,1994,6,18.333333333333332
Michigan,1994,7,19.72222222222222
Michigan,1994,8,17.61111111111111
Michigan,1994,9,15.88888888888889
Michigan,1994,10,9.888888888888888
