state,year,n_incidents,average_temperature,average_precipitation,poverty_rate,lawtotal,laws_1,laws_2,laws_3,laws_4,laws_5,laws_6,laws_7,laws_8,laws_9,laws_10,laws_11,laws_12,laws_13,laws_14
Kansas,2017,18.53050037851727,13.611111111111109,0.6144683333333334,0.128103210159329,4.0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Kentucky,2015,19.22739752768655,13.648148148148147,1.2342283333333333,0.1890218114630336,7.0,0,0,1,0,0,1,5,0,0,0,0,0,0,0
Kentucky,2016,21.517819683825493,14.402777777777779,1.0411883333333334,0.1880938023513275,7.0,0,0,1,0,0,1,5,0,0,0,0,0,0,0
Kentucky,2017,21.449742019123736,14.342592592592593,1.0638366666666668,0.1827440881720997,7.0,0,0,1,0,0,1,5,0,0,0,0,0,0,0
Louisiana,2015,33.85050211935443,20.050925925925927,1.4247283333333334,0.197615699444737,12.0,0,1,0,0,0,3,5,0,0,0,0,0,0,3
Louisiana,2016,41.87566198923289,20.412037037037038,1.41986,0.1970418362543954,12.0,0,1,0,0,0,3,5,0,0,0,0,0,0,3
Louisiana,2017,39.86673974855264,20.39814814814815,1.3559366666666668,0.1958645679091352,13.0,0,1,0,0,0,3,5,0,0,0,0,0,0,4
Maine,2015,16.56299736046051,5.125,0.9135533333333333,0.1393708451325962,11.0,2,0,4,0,0,1,0,0,0,0,1,0,0,3
Maine,2016,16.750330687582295,6.254629629629629,0.8754533333333333,0.1347333144835705,11.0,2,0,4,0,0,1,0,0,0,0,1,0,0,3
Maine,2017,14.386203630718141,5.7592592592592595,0.9592733333333333,0.1288835967314235,11.0,2,0,4,0,0,1,0,0,0,0,1,0,0,3
Maryland,2015,20.43250074094964,13.023148148148147,0.99187,0.0996341826578604,64.0,7,9,7,6,3,3,5,5,7,2,1,0,1,8
Maryland,2016,20.50531014239947,13.592592592592593,0.8818033333333334,0.0991199854696993,64.0,7,9,7,6,3,3,5,5,7,2,1,0,1,8
Maryland,2017,24.967346562042863,13.712962962962964,0.8722783333333334,0.0968165095879706,64.0,7,9,7,6,3,3,5,5,7,2,1,0,1,8
Massachusetts,2015,19.13388835346709,9.143518518518517,0.8760883333333335,0.1157269011713697,101.0,14,10,8,7,6,9,5,4,11,5,1,3,1,17
Massachusetts,2016,22.09974547189698,10.175925925925926,0.7795683333333333,0.113869151213436,101.0,14,10,8,7,6,9,5,4,11,5,1,3,1,17
Massachusetts,2017,25.029924389802662,9.76388888888889,0.9910233333333335,0.1110359387254673,101.0,14,10,8,7,6,9,5,4,11,5,1,3,1,17
Michigan,2015,11.65961769946077,7.282407407407408,0.6718299999999999,0.167063038458689,21.0,6,3,1,3,0,2,5,0,1,0,0,0,0,0
Michigan,2016,12.129957165272224,8.537037037037036,0.7590366666666667,0.1626484879745845,21.0,6,3,1,3,0,2,5,0,1,0,0,0,0,0
Michigan,2017,12.654021602480428,7.939814814814814,0.8312149999999999,0.155786981828748,21.0,6,3,1,3,0,2,5,0,1,0,0,0,0,0
Minnesota,2015,6.877012027656899,6.3842592592592595,0.6235700000000001,0.1126709976729795,41.0,2,1,6,0,0,3,5,0,6,2,1,0,1,14
Minnesota,2016,7.930840176549919,6.981481481481481,0.70993,0.1083525326265966,41.0,2,1,6,0,0,3,5,0,6,2,1,0,1,14
Minnesota,2017,13.024973815311261,5.907407407407407,0.5990166666666666,0.1045421256342931,41.0,2,1,6,0,0,3,5,0,6,2,1,0,1,14
Mississippi,2015,20.779856990414164,18.49537037037037,1.282065,0.225376740582134,2.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Mississippi,2016,26.54004199551664,18.837962962962965,1.124585,0.2231360852458495,2.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Mississippi,2017,32.08956971868925,18.76388888888889,1.2473516666666666,0.2145261637653484,2.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Missouri,2015,26.022228912606813,13.245370370370372,1.1751733333333334,0.1562262231684772,8.0,0,0,2,0,0,0,5,0,0,0,1,0,0,0
Missouri,2016,23.83715820332554,14.13425925925926,0.8348133333333334,0.152773840159037,7.0,0,0,2,0,0,0,5,0,0,0,0,0,0,0
Missouri,2017,26.561120872750617,13.972222222222221,0.8773583333333334,0.1462515445299876,2.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Montana,2015,12.42145612460273,7.143518518518519,0.3572933333333334,0.1521175191831358,4.0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
