state,year,n_incidents,lawtotal,laws_1,laws_2,laws_3,laws_4,laws_5,laws_6,laws_7,laws_8,laws_9,laws_10,laws_11,laws_12,laws_13,laws_14
New York,2014,9.134372419507987,74.0,5,7,7,8,2,6,6,8,2,2,1,3,1,16
New York,2015,14.144224073815348,74.0,5,7,7,8,2,6,6,8,2,2,1,3,1,16
New York,2016,12.213863009556965,74.0,5,7,7,8,2,6,6,8,2,2,1,3,1,16
New York,2017,9.831761510664961,74.0,5,7,7,8,2,6,6,8,2,2,1,3,1,16
North Carolina,2014,20.46736261068912,30.0,1,2,1,4,0,3,5,0,4,0,0,0,0,10
North Carolina,2015,17.43482575043019,30.0,1,2,1,4,0,3,5,0,4,0,0,0,0,10
North Carolina,2016,19.399715680918206,30.0,1,2,1,4,0,3,5,0,4,0,0,0,0,10
North Carolina,2017,19.574935629138917,30.0,1,2,1,4,0,3,5,0,4,0,0,0,0,10
North Dakota,2014,14.781645264923698,14.0,0,0,5,0,0,2,4,0,0,2,1,0,0,0
North Dakota,2015,18.963857275092632,14.0,0,0,5,0,0,2,4,0,0,2,1,0,0,0
North Dakota,2016,19.219706428925527,14.0,0,0,5,0,0,2,4,0,0,2,1,0,0,0
North Dakota,2017,17.219865896982814,10.0,0,0,5,0,0,2,0,0,0,2,1,0,0,0
Ohio,2014,19.38341937652443,15.0,0,3,3,0,0,1,4,0,0,2,1,0,0,1
Ohio,2015,17.215367780079188,16.0,0,3,3,0,0,1,5,0,0,2,1,0,0,1
Ohio,2016,19.786202432963712,16.0,0,3,3,0,0,1,5,0,0,2,1,0,0,1
Ohio,2017,21.741647476553755,16.0,0,3,3,0,0,1,5,0,0,2,1,0,0,1
Oklahoma,2014,15.600072920671439,9.0,0,1,1,0,0,2,4,0,0,0,0,0,0,1
Oklahoma,2015,20.00255787185062,9.0,0,1,1,0,0,2,4,0,0,0,0,0,0,1
Oklahoma,2016,21.394018996360725,9.0,0,1,1,0,0,2,4,0,0,0,0,0,0,1
Oklahoma,2017,20.502040538079363,9.0,0,1,1,0,0,2,4,0,0,0,0,0,0,1
Oregon,2014,9.133931698376381,24.0,5,2,4,6,0,1,4,0,0,0,1,0,1,0
Oregon,2015,15.912178718419678,33.0,9,2,5,10,0,1,4,0,0,0,1,0,1,0
Oregon,2016,12.37171073864492,35.0,9,2,5,10,0,1,4,0,0,0,1,0,1,2
Oregon,2017,11.48752601888443,35.0,9,2,5,10,0,1,4,0,0,0,1,0,1,2
Pennsylvania,2014,16.820044989515036,37.0,10,3,5,6,0,1,5,0,1,1,0,0,0,5
Pennsylvania,2015,12.991964067403028,37.0,10,3,5,6,0,1,5,0,1,1,0,0,0,5
